breed,normalized_breed,filename,source,source_url,direct_image_url,author,license,license_url,width,height,commercial_use,modification,notes
Pug,Pug,pug.jpg,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Mops-beige.png,https://upload.wikimedia.org/wikipedia/commons/4/47/Mops-beige.png?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,Martinweicker,CC BY 3.0,https://creativecommons.org/licenses/by/3.0,826,1200,yes,Resized to max 1200px on the longest side and re-encoded as JPEG (quality 84); metadata stripped,"Attribution required (author, title, source, license)"
Siberian Husky,Siberian Husky,siberian-husky.jpg,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Portrait_of_husky.jpg,https://upload.wikimedia.org/wikipedia/commons/d/dc/Portrait_of_husky.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,Olga1969,CC BY 4.0,https://creativecommons.org/licenses/by/4.0,1200,800,yes,Resized to max 1200px on the longest side and re-encoded as JPEG (quality 84); metadata stripped,"Attribution required (author, title, source, license)"
Chihuahua,Chihuahua,chihuahua.jpg,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Chihuahua_sitting.jpg,https://upload.wikimedia.org/wikipedia/commons/e/e7/Chihuahua_sitting.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,sirraychen,CC BY 2.0,https://creativecommons.org/licenses/by/2.0,800,1200,yes,Resized to max 1200px on the longest side and re-encoded as JPEG (quality 84); metadata stripped,"Attribution required (author, title, source, license)"
Lhasa Apso,Lhasa Apso,lhasa-apso.jpg,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Canon_50mm_F1.4_Mena-1_(4826213074).jpg,https://upload.wikimedia.org/wikipedia/commons/f/f4/Canon_50mm_F1.4_Mena-1_%284826213074%29.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,"Sheba_Also 43,000 photos",CC BY-SA 2.0,https://creativecommons.org/licenses/by-sa/2.0,1033,771,yes,Cropped to remove the original's black/white photo frame; resized to max 1200px on the longest side and re-encoded as JPEG (quality 84); metadata stripped,ShareAlike: this file (and any adaptation of it) must stay under CC BY-SA 2.0 with attribution
Pembroke Welsh Corgi,Pembroke Welsh Corgi,pembroke-welsh-corgi.jpg,Wikimedia Commons,"https://commons.wikimedia.org/wiki/File:Pembroke_Welsh_Corgi,_aged_14_(cropped).jpg",https://upload.wikimedia.org/wikipedia/commons/b/bc/Pembroke_Welsh_Corgi%2C_aged_14_%28cropped%29.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,Sean Dudley,Public domain,https://commons.wikimedia.org/wiki/Commons:Public_domain,1108,1177,yes,Resized to max 1200px on the longest side and re-encoded as JPEG (quality 84); metadata stripped,No attribution legally required; credit kept as courtesy
Saint Bernard,St. Bernard,saint-bernard.jpg,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:DemonsPortrait.JPG,https://upload.wikimedia.org/wikipedia/commons/7/7a/DemonsPortrait.JPG?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,Ofrockwood,CC BY 3.0,https://creativecommons.org/licenses/by/3.0,1200,912,yes,Resized to max 1200px on the longest side and re-encoded as JPEG (quality 84); metadata stripped,"Attribution required (author, title, source, license)"
Cane Corso,Cane Corso,cane-corso.jpg,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:%D0%9A%D0%B0%D0%BD%D0%B5_%D0%BA%D0%BE%D1%80%D1%81%D0%BE.JPG,https://upload.wikimedia.org/wikipedia/commons/1/1f/%D0%9A%D0%B0%D0%BD%D0%B5_%D0%BA%D0%BE%D1%80%D1%81%D0%BE.JPG?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,Canecorso23,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,1200,798,yes,Resized to max 1200px on the longest side and re-encoded as JPEG (quality 84); metadata stripped,ShareAlike: this file (and any adaptation of it) must stay under CC BY-SA 4.0 with attribution
Indian Pariah / Indian Native Dog,"Indian Pariah Dog (DB value: ""Indie"")",indian-pariah.jpg,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:The_Indian_Pariah_Dog.jpg,https://upload.wikimedia.org/wikipedia/commons/0/01/The_Indian_Pariah_Dog.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,Ryan.virgo at English Wikipedia,Public domain,https://commons.wikimedia.org/wiki/Commons:Public_domain,1200,845,yes,Resized to max 1200px on the longest side and re-encoded as JPEG (quality 84); metadata stripped,No attribution legally required; credit kept as courtesy
Rajapalayam,Rajapalayam,rajapalayam.jpg,Wikimedia Commons,"https://commons.wikimedia.org/wiki/File:Vali,_the_rajapalayam_dog.jpg",https://upload.wikimedia.org/wikipedia/commons/3/37/Vali%2C_the_rajapalayam_dog.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,SanjayBolade,CC0,https://creativecommons.org/publicdomain/zero/1.0/,900,1200,yes,Resized to max 1200px on the longest side and re-encoded as JPEG (quality 84); metadata stripped,No attribution legally required; credit kept as courtesy
Mudhol Hound,Mudhol Hound,mudhol-hound.jpg,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Mudhol_hound_dog.png,https://upload.wikimedia.org/wikipedia/commons/0/04/Mudhol_hound_dog.png?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,Dananjaii,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,720,696,yes,Resized to max 1200px on the longest side and re-encoded as JPEG (quality 84); metadata stripped,ShareAlike: this file (and any adaptation of it) must stay under CC BY-SA 4.0 with attribution; Low resolution original (720x696); best available licensed Mudhol photo
Chippiparai,Chippiparai,chippiparai.jpg,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Chippiparai_dog_at_the_streets_of_Tirupudaimarudur_JEG2395.jpg,https://upload.wikimedia.org/wikipedia/commons/e/e1/Chippiparai_dog_at_the_streets_of_Tirupudaimarudur_JEG2395.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,PJeganathan,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,1200,795,yes,Resized to max 1200px on the longest side and re-encoded as JPEG (quality 84); metadata stripped,ShareAlike: this file (and any adaptation of it) must stay under CC BY-SA 4.0 with attribution
Kombai,Kombai (Combai),kombai.jpg,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:The_Combai_Breed_3.png,https://upload.wikimedia.org/wikipedia/commons/4/4c/The_Combai_Breed_3.png?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,Sairam12r,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,674,1200,yes,Resized to max 1200px on the longest side and re-encoded as JPEG (quality 84); metadata stripped,ShareAlike: this file (and any adaptation of it) must stay under CC BY-SA 4.0 with attribution; Original is 720x1282
